"SPX 06/09 C650 Index";"C";"650";"2009-06-20";"794.35";"1.2875";"155.42";"0.04";"0.257357973990418"
"SPX 06/09 C700 Index";"C";"700";"2009-06-20";"794.35";"1.2875";"116.39";"0.04";"0.257357973990418"
"SPX 06/09 C750 Index";"C";"750";"2009-06-20";"794.35";"1.2875";"78.55";"0.04";"0.257357973990418"
"SPX 06/09 C800 Index";"C";"800";"2009-06-20";"794.35";"1.2875";"53.5";"0.04";"0.257357973990418"
"SPX 06/09 C850 Index";"C";"850";"2009-06-20";"794.35";"1.2875";"31.5";"0.04";"0.257357973990418"
"SPX 06/09 C900 Index";"C";"900";"2009-06-20";"794.35";"1.2875";"16";"0.04";"0.257357973990418"
"SPX 06/09 C950 Index";"C";"950";"2009-06-20";"794.35";"1.2875";"7.8";"0.04";"0.257357973990418"
"SPX 09/09 C650 Index";"C";"650";"2009-09-20";"794.35";"1.2875";"167.69";"0.04";"0.509240246406571"
"SPX 09/09 C700 Index";"C";"700";"2009-09-20";"794.35";"1.2875";"128.72";"0.04";"0.509240246406571"
"SPX 09/09 C750 Index";"C";"750";"2009-09-20";"794.35";"1.2875";"97.34";"0.04";"0.509240246406571"
"SPX 09/09 C800 Index";"C";"800";"2009-09-20";"794.35";"1.2875";"71.8";"0.04";"0.509240246406571"
"SPX 09/09 C850 Index";"C";"850";"2009-09-20";"794.35";"1.2875";"50.5";"0.04";"0.509240246406571"
"SPX 09/09 C900 Index";"C";"900";"2009-09-20";"794.35";"1.2875";"30";"0.04";"0.509240246406571"
"SPX 09/09 C950 Index";"C";"950";"2009-09-20";"794.35";"1.2875";"17.67";"0.04";"0.509240246406571"
"SPX 12/09 C650 Index";"C";"650";"2009-12-20";"794.35";"1.2875";"172.6";"0.04";"0.758384668035592"
"SPX 12/09 C700 Index";"C";"700";"2009-12-20";"794.35";"1.2875";"136.08";"0.04";"0.758384668035592"
"SPX 12/09 C750 Index";"C";"750";"2009-12-20";"794.35";"1.2875";"107.06";"0.04";"0.758384668035592"
"SPX 12/09 C800 Index";"C";"800";"2009-12-20";"794.35";"1.2875";"89.53";"0.04";"0.758384668035592"
"SPX 12/09 C850 Index";"C";"850";"2009-12-20";"794.35";"1.2875";"54.9";"0.04";"0.758384668035592"
"SPX 12/09 C900 Index";"C";"900";"2009-12-20";"794.35";"1.2875";"45";"0.04";"0.758384668035592"
"SPX 12/09 C950 Index";"C";"950";"2009-12-20";"794.35";"1.2875";"27";"0.04";"0.758384668035592"
