"SPX 03/09 C650 Index";"C";"650";"2009-03-20";"842.62";"1.0825";"204.73";"0.031";"0.177960301163587"
"SPX 03/09 C700 Index";"C";"700";"2009-03-20";"842.62";"1.0825";"160.32";"0.031";"0.177960301163587"
"SPX 03/09 C750 Index";"C";"750";"2009-03-20";"842.62";"1.0825";"122.92";"0.031";"0.177960301163587"
"SPX 03/09 C800 Index";"C";"800";"2009-03-20";"842.62";"1.0825";"88.52";"0.031";"0.177960301163587"
"SPX 03/09 C850 Index";"C";"850";"2009-03-20";"842.62";"1.0825";"57.2";"0.031";"0.177960301163587"
"SPX 03/09 C900 Index";"C";"900";"2009-03-20";"842.62";"1.0825";"34";"0.031";"0.177960301163587"
"SPX 03/09 C950 Index";"C";"950";"2009-03-20";"842.62";"1.0825";"17.5";"0.031";"0.177960301163587"
"SPX 03/09 C1000 Index";"C";"1000";"2009-03-20";"842.62";"1.0825";"7.9";"0.031";"0.177960301163587"
"SPX 06/09 C650 Index";"C";"650";"2009-06-20";"842.62";"1.0825";"215.48";"0.031";"0.42984257357974"
"SPX 06/09 C700 Index";"C";"700";"2009-06-20";"842.62";"1.0825";"180.15";"0.031";"0.42984257357974"
"SPX 06/09 C750 Index";"C";"750";"2009-06-20";"842.62";"1.0825";"141.03";"0.031";"0.42984257357974"
"SPX 06/09 C800 Index";"C";"800";"2009-06-20";"842.62";"1.0825";"112.16";"0.031";"0.42984257357974"
"SPX 06/09 C850 Index";"C";"850";"2009-06-20";"842.62";"1.0825";"82.4";"0.031";"0.42984257357974"
"SPX 06/09 C900 Index";"C";"900";"2009-06-20";"842.62";"1.0825";"60.03";"0.031";"0.42984257357974"
"SPX 06/09 C950 Index";"C";"950";"2009-06-20";"842.62";"1.0825";"41.5";"0.031";"0.42984257357974"
"SPX 06/09 C1000 Index";"C";"1000";"2009-06-20";"842.62";"1.0825";"28";"0.031";"0.42984257357974"
"SPX 09/09 C650 Index";"C";"650";"2009-09-20";"842.62";"1.0825";"227.75";"0.031";"0.681724845995893"
"SPX 09/09 C700 Index";"C";"700";"2009-09-20";"842.62";"1.0825";"192.61";"0.031";"0.681724845995893"
"SPX 09/09 C750 Index";"C";"750";"2009-09-20";"842.62";"1.0825";"158.78";"0.031";"0.681724845995893"
"SPX 09/09 C850 Index";"C";"850";"2009-09-20";"842.62";"1.0825";"100.5";"0.031";"0.681724845995893"
"SPX 09/09 C900 Index";"C";"900";"2009-09-20";"842.62";"1.0825";"78.62";"0.031";"0.681724845995893"
"SPX 09/09 C950 Index";"C";"950";"2009-09-20";"842.62";"1.0825";"58";"0.031";"0.681724845995893"
"SPX 12/09 C650 Index";"C";"650";"2009-12-20";"842.62";"1.0825";"235.12";"0.031";"0.930869267624914"
"SPX 12/09 C700 Index";"C";"700";"2009-12-20";"842.62";"1.0825";"200.03";"0.031";"0.930869267624914"
"SPX 12/09 C750 Index";"C";"750";"2009-12-20";"842.62";"1.0825";"166.63";"0.031";"0.930869267624914"
"SPX 12/09 C800 Index";"C";"800";"2009-12-20";"842.62";"1.0825";"139.63";"0.031";"0.930869267624914"
"SPX 12/09 C850 Index";"C";"850";"2009-12-20";"842.62";"1.0825";"113";"0.031";"0.930869267624914"
"SPX 12/09 C900 Index";"C";"900";"2009-12-20";"842.62";"1.0825";"92";"0.031";"0.930869267624914"
"SPX 12/09 C950 Index";"C";"950";"2009-12-20";"842.62";"1.0825";"73";"0.031";"0.930869267624914"
"SPX 12/09 C1000 Index";"C";"1000";"2009-12-20";"842.62";"1.0825";"54";"0.031";"0.930869267624914"
