"SPX 06/09 C550 Index";"C";"550";"2009-06-20";"712.87";"1.27663";"174.85";"0.027";"0.295687885010267"
"SPX 06/09 C600 Index";"C";"600";"2009-06-20";"712.87";"1.27663";"134.84";"0.027";"0.295687885010267"
"SPX 06/09 C650 Index";"C";"650";"2009-06-20";"712.87";"1.27663";"93.43";"0.027";"0.295687885010267"
"SPX 06/09 C700 Index";"C";"700";"2009-06-20";"712.87";"1.27663";"61.11";"0.027";"0.295687885010267"
"SPX 06/09 C750 Index";"C";"750";"2009-06-20";"712.87";"1.27663";"44.5";"0.027";"0.295687885010267"
"SPX 06/09 C800 Index";"C";"800";"2009-06-20";"712.87";"1.27663";"25";"0.027";"0.295687885010267"
"SPX 06/09 C850 Index";"C";"850";"2009-06-20";"712.87";"1.27663";"12.1";"0.027";"0.295687885010267"
"SPX 09/09 C600 Index";"C";"600";"2009-09-20";"712.87";"1.27663";"143.83";"0.027";"0.54757015742642"
"SPX 09/09 C650 Index";"C";"650";"2009-09-20";"712.87";"1.27663";"114.87";"0.027";"0.54757015742642"
"SPX 09/09 C700 Index";"C";"700";"2009-09-20";"712.87";"1.27663";"79.92";"0.027";"0.54757015742642"
"SPX 09/09 C750 Index";"C";"750";"2009-09-20";"712.87";"1.27663";"56";"0.027";"0.54757015742642"
"SPX 09/09 C800 Index";"C";"800";"2009-09-20";"712.87";"1.27663";"37.9";"0.027";"0.54757015742642"
"SPX 12/09 C550 Index";"C";"550";"2009-12-20";"712.87";"1.27663";"195.26";"0.027";"0.796714579055442"
"SPX 12/09 C600 Index";"C";"600";"2009-12-20";"712.87";"1.27663";"158.4";"0.027";"0.796714579055442"
"SPX 12/09 C650 Index";"C";"650";"2009-12-20";"712.87";"1.27663";"127.48";"0.027";"0.796714579055442"
"SPX 12/09 C700 Index";"C";"700";"2009-12-20";"712.87";"1.27663";"97.48";"0.027";"0.796714579055442"
"SPX 12/09 C750 Index";"C";"750";"2009-12-20";"712.87";"1.27663";"68.9";"0.027";"0.796714579055442"
"SPX 12/09 C850 Index";"C";"850";"2009-12-20";"712.87";"1.27663";"35";"0.027";"0.796714579055442"
