"SPX 06/11 C1050 Index";"C";"1050";"2011-06-20";"1330.36";"0.27375";"278.47";"0.018";"0.167008898015058"
"SPX 06/11 C1100 Index";"C";"1100";"2011-06-20";"1330.36";"0.27375";"229.13";"0.018";"0.167008898015058"
"SPX 06/11 C1150 Index";"C";"1150";"2011-06-20";"1330.36";"0.27375";"180.4";"0.018";"0.167008898015058"
"SPX 06/11 C1200 Index";"C";"1200";"2011-06-20";"1330.36";"0.27375";"132.74";"0.018";"0.167008898015058"
"SPX 06/11 C1250 Index";"C";"1250";"2011-06-20";"1330.36";"0.27375";"87.97";"0.018";"0.167008898015058"
"SPX 06/11 C1300 Index";"C";"1300";"2011-06-20";"1330.36";"0.27375";"47.79";"0.018";"0.167008898015058"
"SPX 06/11 C1350 Index";"C";"1350";"2011-06-20";"1330.36";"0.27375";"18.4";"0.018";"0.167008898015058"
"SPX 06/11 C1400 Index";"C";"1400";"2011-06-20";"1330.36";"0.27375";"3.5";"0.018";"0.167008898015058"
"SPX 06/11 C1450 Index";"C";"1450";"2011-06-20";"1330.36";"0.27375";"0.55";"0.018";"0.167008898015058"
"SPX 06/11 C1500 Index";"C";"1500";"2011-06-20";"1330.36";"0.27375";"0.2";"0.018";"0.167008898015058"
"SPX 06/11 C1550 Index";"C";"1550";"2011-06-20";"1330.36";"0.27375";"0.15";"0.018";"0.167008898015058"
"SPX 09/11 C1050 Index";"C";"1050";"2011-09-20";"1330.36";"0.27375";"279.94";"0.018";"0.418891170431211"
"SPX 09/11 C1100 Index";"C";"1100";"2011-09-20";"1330.36";"0.27375";"234.3";"0.018";"0.418891170431211"
"SPX 09/11 C1200 Index";"C";"1200";"2011-09-20";"1330.36";"0.27375";"146.91";"0.018";"0.418891170431211"
"SPX 09/11 C1250 Index";"C";"1250";"2011-09-20";"1330.36";"0.27375";"107.67";"0.018";"0.418891170431211"
"SPX 09/11 C1300 Index";"C";"1300";"2011-09-20";"1330.36";"0.27375";"71.93";"0.018";"0.418891170431211"
"SPX 09/11 C1350 Index";"C";"1350";"2011-09-20";"1330.36";"0.27375";"44";"0.018";"0.418891170431211"
"SPX 09/11 C1400 Index";"C";"1400";"2011-09-20";"1330.36";"0.27375";"22";"0.018";"0.418891170431211"
"SPX 09/11 C1450 Index";"C";"1450";"2011-09-20";"1330.36";"0.27375";"8.2";"0.018";"0.418891170431211"
"SPX 09/11 C1500 Index";"C";"1500";"2011-09-20";"1330.36";"0.27375";"2.4";"0.018";"0.418891170431211"
"SPX 09/11 C1550 Index";"C";"1550";"2011-09-20";"1330.36";"0.27375";"0.75";"0.018";"0.418891170431211"
"SPX 09/11 C1600 Index";"C";"1600";"2011-09-20";"1330.36";"0.27375";"0.19";"0.018";"0.418891170431211"
"SPX 12/11 C1050 Index";"C";"1050";"2011-12-20";"1330.36";"0.27375";"286.79";"0.018";"0.668035592060233"
"SPX 12/11 C1100 Index";"C";"1100";"2011-12-20";"1330.36";"0.27375";"241.88";"0.018";"0.668035592060233"
"SPX 12/11 C1150 Index";"C";"1150";"2011-12-20";"1330.36";"0.27375";"201.24";"0.018";"0.668035592060233"
"SPX 12/11 C1200 Index";"C";"1200";"2011-12-20";"1330.36";"0.27375";"160.26";"0.018";"0.668035592060233"
"SPX 12/11 C1250 Index";"C";"1250";"2011-12-20";"1330.36";"0.27375";"124.85";"0.018";"0.668035592060233"
"SPX 12/11 C1300 Index";"C";"1300";"2011-12-20";"1330.36";"0.27375";"88.94";"0.018";"0.668035592060233"
"SPX 12/11 C1350 Index";"C";"1350";"2011-12-20";"1330.36";"0.27375";"60";"0.018";"0.668035592060233"
"SPX 12/11 C1400 Index";"C";"1400";"2011-12-20";"1330.36";"0.27375";"38";"0.018";"0.668035592060233"
"SPX 12/11 C1450 Index";"C";"1450";"2011-12-20";"1330.36";"0.27375";"20.3";"0.018";"0.668035592060233"
"SPX 12/11 C1500 Index";"C";"1500";"2011-12-20";"1330.36";"0.27375";"9.9";"0.018";"0.668035592060233"
"SPX 12/11 C1600 Index";"C";"1600";"2011-12-20";"1330.36";"0.27375";"1.75";"0.018";"0.668035592060233"
"SPX 03/12 C1250 Index";"C";"1250";"2012-03-20";"1330.36";"0.27375";"135.06";"0.018";"0.917180013689254"
"SPX 03/12 C1300 Index";"C";"1300";"2012-03-20";"1330.36";"0.27375";"103.79";"0.018";"0.917180013689254"
"SPX 03/12 C1350 Index";"C";"1350";"2012-03-20";"1330.36";"0.27375";"74.4";"0.018";"0.917180013689254"
"SPX 03/12 C1400 Index";"C";"1400";"2012-03-20";"1330.36";"0.27375";"50";"0.018";"0.917180013689254"
"SPX 03/12 C1550 Index";"C";"1550";"2012-03-20";"1330.36";"0.27375";"10";"0.018";"0.917180013689254"
