"SPX 12/09 C900 Index";"C";"900";"2009-12-20";"1110.63";"0.25563";"209.57";"0.023";"0.0684462696783025"
"SPX 12/09 C950 Index";"C";"950";"2009-12-20";"1110.63";"0.25563";"159.98";"0.023";"0.0684462696783025"
"SPX 12/09 C1000 Index";"C";"1000";"2009-12-20";"1110.63";"0.25563";"110.94";"0.023";"0.0684462696783025"
"SPX 12/09 C1050 Index";"C";"1050";"2009-12-20";"1110.63";"0.25563";"63.75";"0.023";"0.0684462696783025"
"SPX 12/09 C1100 Index";"C";"1100";"2009-12-20";"1110.63";"0.25563";"24.26";"0.023";"0.0684462696783025"
"SPX 12/09 C1150 Index";"C";"1150";"2009-12-20";"1110.63";"0.25563";"4.4";"0.023";"0.0684462696783025"
"SPX 12/09 C1200 Index";"C";"1200";"2009-12-20";"1110.63";"0.25563";"0.55";"0.023";"0.0684462696783025"
"SPX 12/09 C1250 Index";"C";"1250";"2009-12-20";"1110.63";"0.25563";"0.1";"0.023";"0.0684462696783025"
"SPX 12/09 C1300 Index";"C";"1300";"2009-12-20";"1110.63";"0.25563";"0.05";"0.023";"0.0684462696783025"
"SPX 03/10 C900 Index";"C";"900";"2010-03-20";"1110.63";"0.25563";"212.26";"0.023";"0.314852840520192"
"SPX 03/10 C950 Index";"C";"950";"2010-03-20";"1110.63";"0.25563";"167.65";"0.023";"0.314852840520192"
"SPX 03/10 C1000 Index";"C";"1000";"2010-03-20";"1110.63";"0.25563";"125.19";"0.023";"0.314852840520192"
"SPX 03/10 C1050 Index";"C";"1050";"2010-03-20";"1110.63";"0.25563";"87.18";"0.023";"0.314852840520192"
"SPX 03/10 C1100 Index";"C";"1100";"2010-03-20";"1110.63";"0.25563";"55.13";"0.023";"0.314852840520192"
"SPX 03/10 C1150 Index";"C";"1150";"2010-03-20";"1110.63";"0.25563";"30";"0.023";"0.314852840520192"
"SPX 03/10 C1200 Index";"C";"1200";"2010-03-20";"1110.63";"0.25563";"14";"0.023";"0.314852840520192"
"SPX 03/10 C1250 Index";"C";"1250";"2010-03-20";"1110.63";"0.25563";"5.5";"0.023";"0.314852840520192"
"SPX 06/10 C900 Index";"C";"900";"2010-06-20";"1110.63";"0.25563";"219.71";"0.023";"0.566735112936345"
"SPX 06/10 C950 Index";"C";"950";"2010-06-20";"1110.63";"0.25563";"177.69";"0.023";"0.566735112936345"
"SPX 06/10 C1000 Index";"C";"1000";"2010-06-20";"1110.63";"0.25563";"140.56";"0.023";"0.566735112936345"
"SPX 06/10 C1050 Index";"C";"1050";"2010-06-20";"1110.63";"0.25563";"105.63";"0.023";"0.566735112936345"
"SPX 06/10 C1100 Index";"C";"1100";"2010-06-20";"1110.63";"0.25563";"73.7";"0.023";"0.566735112936345"
"SPX 06/10 C1150 Index";"C";"1150";"2010-06-20";"1110.63";"0.25563";"50";"0.023";"0.566735112936345"
"SPX 06/10 C1200 Index";"C";"1200";"2010-06-20";"1110.63";"0.25563";"31";"0.023";"0.566735112936345"
"SPX 06/10 C1250 Index";"C";"1250";"2010-06-20";"1110.63";"0.25563";"17";"0.023";"0.566735112936345"
"SPX 06/10 C1300 Index";"C";"1300";"2010-06-20";"1110.63";"0.25563";"8.3";"0.023";"0.566735112936345"
"SPX 09/10 C1200 Index";"C";"1200";"2010-09-20";"1110.63";"0.25563";"45.1";"0.023";"0.818617385352498"
"SPX 09/10 C1250 Index";"C";"1250";"2010-09-20";"1110.63";"0.25563";"29";"0.023";"0.818617385352498"
